TIPO DE REGISTRO                  ;CÓDIGO DA UF;NÚMERO SEQUENCIAL;DV DO SEQUENCIAL;NÚMERO DO DOMICÍLIO;ESTRATO GEOGRÁFICO;FATOR DE EXPANSÃO 2 (AJUSTADO P/ ESTIMATIVAS)           ;PERÍODO REAL DA COLETA;QUANTIDADE DE MORADORES      ;QUANTIDADE DE UC                ;QUANTIDADE DE FAMÍLIAS;TIPO DE DOMICILIO;MATERIAL QUE PREDOMINA NAS PAREDES EXTERNAS;MATERIAL QUE PREDOMINA NA COBERTURA;MATERIAL QUE PREDOMINA NO PISO;QUANTIDADE DE CÔMODOS;CÔMODOS SERVINDO DE DORMITÓRIO;EXISTÊNCIA DE ÁGUA CANALIZADA;PROVENIÊNCIA DA ÁGUA;QUANTIDADE DE BANHEIROS;ESCOADOURO SANITÁRIO;CONDIÇÃO DE OCUPAÇÃO;TEMPO DE ALUGUEL;TIPO DE CONTRATO DE ALUGUEL;EXISTÊNCIA DE PAVIMENTAÇÃO NA RUA;IMPUTAÇÃO - QUANTIDADE DE CÔMODOS;IMPUTAÇÃO - QUANTIDADE DE BANHEIROS;IMPUTAÇÃO - ESCOADOURO SANITÁRIO;RENDA MONETÁRIA MENSAL DO DOMICÍLIO;RENDA NÃO MONETÁRIA MENSAL DO DOMICÍLIO;RENDA TOTAL MENSAL DO DOMICÍLIO               
1;33;1;9;1;1;1887,383316;1;4;1;1;2;1;2;2;8;3;1;1;2;1;1;0;0;1;0;0;0;2496,04;848;3344,041122
1;33;1;9;10;1;1887,383316;10;5;1;1;1;1;2;2;7;2;1;1;2;1;6;2;3;1;0;0;0;2111,52;0;2111,521122
1;33;1;9;11;1;1887,383316;11;3;1;1;2;1;2;2;8;3;1;1;2;1;1;0;0;1;0;0;0;8400,05;587,1;8987,151122
1;33;1;9;12;1;1887,383316;12;4;1;1;2;1;2;6;6;3;1;1;1;1;1;0;0;1;0;0;0;4045,96;416;4461,961122
1;33;1;9;13;1;1887,383316;14;3;1;1;2;1;2;4;8;3;1;1;2;1;6;2;2;1;0;0;0;1141,9;0;1141,901222
1;33;1;9;3;1;1887,383316;4;2;1;1;2;1;2;2;8;2;1;1;2;1;1;0;0;1;0;0;0;10393,33;840;11233,33112
1;33;1;9;5;1;1887,383316;5;1;1;1;1;1;1;4;5;1;1;1;1;1;1;0;0;1;0;0;0;868,55;315;1183,551122
1;33;1;9;6;1;1887,383316;6;3;1;1;2;1;2;2;8;3;1;1;2;1;2;0;0;1;0;0;0;4280,65;549,93;4830,581121
1;33;1;9;7;1;1887,383316;7;3;1;1;2;1;2;2;8;2;1;1;2;1;1;0;0;1;0;0;0;3419,03;487,6;3906,631122
1;33;1;9;8;1;1887,383316;9;4;1;1;2;1;2;3;8;3;1;1;2;1;1;0;0;1;0;0;0;6473,42;511,14;6984,561122
1;33;1;9;9;1;1887,383316;9;2;1;1;1;1;2;2;7;2;1;1;2;1;1;0;0;1;0;0;0;5725,5;520;6245,501122
1;33;2;7;1;1;4413,14233;14;3;1;1;2;1;1;2;5;2;1;1;1;1;1;0;0;1;0;0;0;6219,19;408,96;6628,151122
1;33;2;7;10;1;4413,14233;23;4;1;1;2;1;2;2;5;3;1;1;1;1;1;0;0;1;0;0;0;6553,5;463,5;7017,001122
1;33;2;7;12;1;4413,14233;25;1;1;1;2;1;2;2;5;1;1;1;1;1;4;0;0;1;0;0;0;2255,17;788,33;3043,501122
1;33;2;7;13;1;4413,14233;26;3;1;1;2;1;2;2;5;2;1;1;1;1;1;0;0;1;0;0;0;5312,44;3690,13;9002,571122
1;33;2;7;3;1;4413,14233;16;2;1;1;2;1;2;2;5;2;1;1;1;1;1;0;0;1;0;0;0;1860;0;1860,001122
1;33;2;7;4;1;4413,14233;17;9;1;1;2;1;2;2;5;3;1;1;1;1;1;0;0;1;0;0;0;9552,42;619,69;10172,12112
1;33;2;7;6;1;4413,14233;20;2;1;1;2;1;2;2;5;2;1;1;1;1;1;0;0;1;0;0;0;2386,57;515;2901,571122
1;33;2;7;7;1;4413,14233;21;6;1;1;2;1;2;2;5;2;1;1;1;1;2;0;0;1;0;0;0;2387,14;1037,75;3424,891122
1;33;2;7;9;1;4413,14233;22;1;1;1;2;1;2;2;5;1;1;1;1;1;2;0;0;1;0;0;0;2861,15;605,13;3466,281122
1;33;3;5;1;1;4258,144456;27;3;1;1;2;1;2;3;4;2;1;1;1;1;6;3;1;1;0;0;0;4345,73;0;4345,731122
1;33;3;5;10;1;4258,144456;37;4;1;1;1;1;1;2;11;3;1;1;5;1;1;0;0;1;0;0;0;22478,2;2838,15;25316,35112
