regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
NORTE	34	urbano	feminino	parda	quinta s‚rie fundamental	analfabeto ou sem instru‡Æo	quarta s‚rie fundamental completa	1000	1490	9	1	evang‚lica	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial	discorda total	discorda parcial	discorda total	concorda total	discorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total
NORTE	53	urbano	masculino	branca	m‚dio completo	oitava s‚rie fundamental incompleta	oitava s‚rie fundamental incompleta	4800	4900	3	1	cat¢lica	concorda parcial	concorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total
NORTE	31	urbano	masculino	preta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	5	1	evang‚lica	concorda parcial	neutro	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	ns	discorda total	ns	discorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total
NORDESTE	38	urbano	feminino	parda	s‚tima s‚rie fundamental	cursou superior sem concluir	segunda s‚rie m‚dio	1000	1000	4	2	cat¢lica	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	concorda total	neutro	concorda parcial
NORDESTE	21	urbano	feminino	parda	primeira s‚rie m‚dio	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	2	2	evang‚lica	concorda parcial	discorda parcial	concorda total	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	discorda parcial	concorda total	discorda total	discorda parcial
NORTE	24	urbano	feminino	parda	primeira s‚rie m‚dio	nÆo conheceu	quinta s‚rie fundamental	678		5	2	evang‚lica	concorda parcial	neutro	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	discorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total
NORDESTE	65	urbano	feminino	parda	superior completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1200	7	2	cat¢lica	discorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda parcial
NORTE	47	urbano	feminino	parda	m‚dio completo	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	700	700	4	2	cat¢lica	discorda total	discorda parcial	discorda total	concorda total	concorda parcial	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	ns	concorda total	discorda parcial	concorda parcial	concorda parcial
NORDESTE	40	urbano	masculino	parda	fundamental completa	segunda s‚rie fundamental	s‚tima s‚rie fundamental	678	3000	6	2	cat¢lica	concorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial
NORTE	29	urbano	masculino	parda	m‚dio completo	quinta s‚rie fundamental	m‚dio completo	678	800	3	1	cat¢lica	discorda total	neutro	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	discorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	discorda total	concorda parcial	discorda parcial
