RAZAO_SOCIAL;ENDERECO;BAIRRO;BANDEIRA;PRECO_VENDA;PRECO_COMPRA;MODALIDADE_DE_COMPRA;FORNECEDOR;DATA_COLETA;CIDADE;UF;COMBUSTIVEL
Auto Posto Lacasema Ltda;Avenida Almte Jair Carneiro Toscano de Brito, 417;Parque das Palmeiras;RAIZEN;4,198;NaN;-;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Imperial Angra Auto Posto Ltda;Rua das Palmeiras, 210;Parque das Palmeiras;RAIZEN;4,22;NaN;-;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto Praia da Ribeira Ltda;Rodovia Br 101, S/n Km 487,8 - Lado Esquerdo;Belem Tq. da Japuiba;PETROBRAS DISTRIBUIDORA S.A.;4,278;3.58;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Auto Posto Japuíba Ltda.;Rodovia Governador Mário Covas, S/n Km 96 + 400;Japuiba;IPIRANGA;4,279;3.58;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto dos Pescadores Ltda.;Alameda Industria, 309;Centro;PETROBRAS DISTRIBUIDORA S.A.;4,329;3.468;FOB;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Golfinho Comercio Derivados de Petroleo Ltda;Rua Doutor Coutinho, 8 Loja A;Cais de Santa Luzia;RAIZEN;4,4;3.598;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto Imperial Bracuí Tda.;Rodovia Mário Covas, S/n Km 113;Bracuí;RAIZEN;4,49;3.409;CIF;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
Posto Marina Piratas Mall Ltda;Estrada das Marinas, 91;Praia do Jardim;IPIRANGA;4,899;NaN;-;-;13/09/2016;ANGRA DOS REIS;RJ;Gasolina
,gecylandia Auto Serviço Ltda;Rodovia Amaral Peixoto, S/n Km 94;Iguabinha;BRANCA;3,59;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Posto Atlântico de Praia Seca Ltda;Rua D Rod. Cabo Frio Km 13 Lote 272 Q. 20, S/n;Praia Seca;BRANCA;3,849;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Posto de Combustível Capri Lagos Ltda.;Rodovia Amaral Peixoto, 90130;Vila Capri;BRANCA;3,889;3.258;FOB;TOBRAS;14/09/2016;ARARUAMA;RJ;Gasolina
Posto Tres Amigos Ltda;Rodovia Rio Bonito Araruama, S/n Km    35;Itatiquara;BRANCA;3,889;3.307;CIF;TOBRAS;14/09/2016;ARARUAMA;RJ;Gasolina
Garcia Tinoco Comércio de Combustíveis Ltda.;Rodovia Amaral Peixoto, S/n Loteamento Novo Horizonte, Lotes 01 A 07;Parati;BRANCA;3,892;3.251;CIF;RAIZEN;14/09/2016;ARARUAMA;RJ;Gasolina
Mataruna Auto Posto Ltda.;Praca Ary Parreiras, S/n;Centro;IPIRANGA;3,958;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Auto Posto 151 Ltda;Avenida John Kennedy, 220;Centro;IPIRANGA;3,989;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Centro Automotivo Praia dos Coqueiros;Rodovia Amaral Peixoto, 90031 Km 88;Praia dos Coqueiros;PETROBRAS DISTRIBUIDORA S.A.;3,99;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Bellas & Barcelos Ltda.;Rodovia Amaral Peixoto, S/n Km 86;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,99;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Silva & Abrantes Ltda;Rua Oscarino P. de Andrade, 10;Sao Vicente de Paula;BRANCA;3,99;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Auto Posto Pontocom Ltda;Avenida Getúlio Vargas, 1320;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,999;NaN;-;-;14/09/2016;ARARUAMA;RJ;Gasolina
Posto Zambeli Ltda;Rua Jose Alves Pimenta, 1616;Matadouro;BRANCA;3,879;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto Belvedere da Taquara Ltda.;Rodovia Lucio Meira Br 393, S/n Km 255,7;Belvedere;BRANCA;3,899;3.225;CIF;76 OIL;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto de Gasolina Estação 3 Estrelas Ltda.;Rodovia Lúcio Meira Br 393, S/nº Km 269;Dorandia;BRANCA;4,099;3.545;CIF;ALE COMBUSTÍVEIS;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto Belvedere da Barra Ltda;Rodovia Lucio Meira - Br 393, S/n Km 255,6;Belvedere da Taquara;PETROBRAS DISTRIBUIDORA S.A.;4,14;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Matagal Auto Posto Ltda;Estrada Rj 137, 11006 0;Ipiabas;IPIRANGA;4,14;3.701;CIF;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto de Combustiveis Gomes Figueiredo Ltda - Epp.;Rua Franklin de Moraes, S/n Area A Box 1e2 80a Area B 80 B;Centro;PETROBRAS DISTRIBUIDORA S.A.;4,14;3.491;CIF;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto Nova Barra Ltda.;Avenida Prefeito Arthur Costa, 550;Muqueca;PETROBRAS DISTRIBUIDORA S.A.;4,149;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto de Combustiveis Jalisco Ltda;Rua Angelica, 127;Centro;RAIZEN;4,15;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Postos Colorado Ltda;Rua Luiz Barbosa, 411;Matadouro;RAIZEN;4,169;NaN;-;-;13/09/2016;BARRA DO PIRAI;RJ;Gasolina
Posto São Francisco de Assis Ltda.;Avenida Presidente Kennedy, 2457;Ano Bom;BRANCA;3,749;3.22;CIF;76 OIL;15/09/2016;BARRA MANSA;RJ;Gasolina
Auto Posto Barra do Vale Ltda.;Avenida Presidente Kennedy, 3601;Ano Bom;BRANCA;3,849;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto de Abastecimento de Combustiveis Vila Nova Ltda;Rua Major Jose Bento, 2137;Vila Nova;BRANCA;3,899;3.399;CIF;ALE COMBUSTÍVEIS;14/09/2016;BARRA MANSA;RJ;Gasolina
Posto Boa Vista Bm Ltda;Avenida Tres de Outubro, 20 e 28;Centro;BRANCA;3,999;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Piga 2000 Ltda;Avenida Tres de Outubro, 411;Jardim Boa Vista;BRANCA;3,999;NaN;-;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Jofave Combustiveis;Via Sergio Braga, S/n;Barbará;PETROBRAS DISTRIBUIDORA S.A.;4,08;3.419;CIF;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Auto Posto Trevo do Amparo Ltda - Epp;Rua Ary Kerner Thomas da Costa, 102;Amparo;BRANCA;4,08;3.525;CIF;ALE COMBUSTÍVEIS;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Monte Cristo Ltda;Rodovia Presidente Dutra, 9 Km 271;Monte Cristo;RAIZEN;4,08;3.47;CIF;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Bocaininha Ltda;Avenida Ministro Amaral Peixoto, 800;Bocaininha;IPIRANGA;4,099;3.515;CIF;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Posto Santa Clara de Barra Mansa Abast. de Combust Ltda;Rodovia Saturnino Braga, 800;Santa Clara;BRANCA;4,11;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Organizaçao Tupy Ltda;Avenida Domingos Mariano, 510;Centro;CBPI;4,149;NaN;-;-;13/09/2016;BARRA MANSA;RJ;Gasolina
Posto Ojm Ltda;Rua Ary Fontenelle, 353 e Av D Aragao 187;Cento;PETROBRAS DISTRIBUIDORA S.A.;4,229;NaN;-;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Aliança Serve Bem Comércio de Combustível Ltda;Avenida Francisco Villela de Andrade Neto, 224;Centro;BRANCA;4,249;NaN;-;-;15/09/2016;BARRA MANSA;RJ;Gasolina
Carrefour Comercio e Industria Ltda;Avenida Jorge Júlio Costa dos Santos, 200;Centro;RAIZEN;3,659;NaN;-;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto São Jorge de Belfor Roxo Ltda;Avenida Benjamin Pinto Dias, 1131;Centro;BRANCA;3,799;3.267;FOB;DIRECIONAL;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto Providencia Ltda;Avenida Joaquim da Costa Lima, 2999;Santa Amélia;ALESAT;3,799;3.265;FOB;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina Dinnei Ltda;Avenida Heliópolis, 447;Heliópolis;BRANCA;3,799;3.22;FOB;76 OIL;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina São Sebastião de Belford Roxo Ltda;Avenida José Mariano dos Passos, 1089 0;Centro;RAIZEN;3,899;3.455;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto de Serviços Belroxo 1 Ltda.;Avenida José Mariano dos Passos, 1725;Centro;BRANCA;3,899;3.271;FOB;PETROBRAS DISTRIBUIDORA S.A.;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto Santorini Ltda.;Rodovia Presidente Dutra, 10726;Rocha Sobrinho;RAIZEN;3,899;3.346;FOB;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina Josi Ltda;Estrada Retiro da Imprensa, 1820;Heliópolis;IPIRANGA;3,949;3.612;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Auto Posto Babilônia I Ltda.;Avenida Benjamin Pinto Dias, 1536;Centro;ALE COMBUSTÍVEIS;3,949;3.318;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto de Gasolina do Capitão de Belford Roxo Ltda;Avenida Jorge Júlio Costa dos Santos, 350;Centro;PETROBRAS DISTRIBUIDORA S.A.;3,989;3.274;CIF;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto Arla Ltda;Avenida Automovel Clube, 2530;Wona / Lote Xv;BRANCA;3,999;NaN;-;-;13/09/2016;BELFORD ROXO;RJ;Gasolina
Posto Aquarius de Cabo Frio Ltda;Rodovia Amaral Peixoto, S/n Km 135;Aquarius;BRANCA;3,999;NaN;-;-;14/09/2016;CABO FRIO;RJ;Gasolina
Posto Itajuru de Cabo Frio Ltda;Avenida Julia Kubstchek, 3;Centro;RAIZEN;4,02;NaN;-;-;14/09/2016;CABO FRIO;RJ;Gasolina
