respond	genero	fumante
1	masculino	1
2	masculino	1
3	masculino	1
4	masculino	1
5	masculino	1
6	masculino	1
7	masculino	1
8	masculino	1
9	masculino	1
10	masculino	1
11	masculino	1
12	masculino	1
13	masculino	1
14	masculino	1
15	masculino	1
16	masculino	1
17	masculino	1
18	masculino	1
19	masculino	1
20	masculino	1
21	masculino	1
22	masculino	1
23	masculino	1
24	masculino	1
25	masculino	1
26	masculino	1
27	masculino	1
28	masculino	1
29	masculino	1
30	masculino	1
31	masculino	1
32	masculino	1
33	masculino	1
34	masculino	1
35	masculino	1
36	masculino	1
37	masculino	1
38	masculino	1
39	masculino	1
40	masculino	1
41	masculino	1
42	masculino	1
43	masculino	1
44	masculino	1
45	masculino	1
46	masculino	0
47	masculino	0
48	masculino	0
49	masculino	0
50	masculino	0
51	masculino	0
52	masculino	0
53	masculino	0
54	masculino	0
55	masculino	0
56	masculino	0
57	masculino	0
58	masculino	0
59	masculino	0
60	masculino	0
61	masculino	0
62	masculino	0
63	masculino	0
64	masculino	0
65	masculino	0
66	masculino	0
67	masculino	0
68	masculino	0
69	masculino	0
70	masculino	0
71	masculino	0
72	masculino	0
73	masculino	0
74	feminino	1
75	feminino	1
76	feminino	1
77	feminino	1
78	feminino	1
79	feminino	1
80	feminino	1
81	feminino	1
82	feminino	1
83	feminino	1
84	feminino	0
85	feminino	0
86	feminino	0
87	feminino	0
88	feminino	0
89	feminino	0
90	feminino	0
91	feminino	0
92	feminino	0
93	feminino	0
94	feminino	0
95	feminino	0
96	feminino	0
97	feminino	0
98	feminino	0
99	feminino	0
100	feminino	0
