data;IIEBR;SELIC;IPCA;PIB
dez/03;91,5;16,91;9,3;118,3
jan/04;94,8;16,32;7,71;119,6
fev/04;88,3;16,3;6,69;120,7
mar/04;96,3;16,19;5,89;122,6
abr/04;106,2;15,96;5,26;123,3
mai/04;92,8;15,77;5,15;122,8
jun/04;88,9;15,8;6,06;124,7
jul/04;88,7;15,77;6,81;125
ago/04;87,7;15,86;7,18;125,6
set/04;87,9;16,09;6,7;126,4
out/04;84,2;16,41;6,86;126,2
nov/04;85,3;16,96;7,24;126,7
dez/04;85,3;17,5;7,6;126,8
jan/05;89,4;17,93;7,41;126,5
fev/05;89,2;18,47;7,39;126,3
mar/05;89,5;18,97;7,54;127,8
abr/05;93,6;19,32;8,07;129,3
mai/05;94,8;19,61;8,05;128
jun/05;98,1;19,75;7,27;128
jul/05;97,5;19,72;6,57;127,9
ago/05;95,7;19,75;6,02;128,7
set/05;94,7;19,61;6,04;128,2
out/05;92,3;19,25;6,36;128,5
nov/05;98,6;18,87;6,22;129
dez/05;87,5;18,24;5,69;130,2
jan/06;91,5;17,65;5,7;130,9
fev/06;87,3;17,28;5,51;131,4
mar/06;91,4;16,74;5,32;131,6
abr/06;89,4;16,19;4,63;131,8
mai/06;96,7;15,7;4,23;132,2
jun/06;97;15,18;4,03;132,7
jul/06;91,5;14,98;3,97;134
ago/06;88,8;14,66;3,84;134,3
set/06;93,7;14,17;3,7;134,7
out/06;95,1;13,95;3,26;135,1
nov/06;89;13,65;3,02;136,2
dez/06;95;13,19;3,14;137,5
jan/07;88,3;13,13;2,99;138,1
fev/07;91,3;12,93;3,02;138,2
mar/07;85,6;12,74;2,96;138,4
abr/07;89,9;12,58;3;139,3
mai/07;91,3;12,43;3,18;140,3
jun/07;95,3;12,03;3,69;142,7
jul/07;88,7;11,73;3,74;141,8
ago/07;98,9;11,43;4,18;142,3
set/07;97,3;11,22;4,15;143,4
out/07;93,6;11,18;4,12;144,3
nov/07;94,1;11,18;4,19;144,8
dez/07;94,7;11,18;4,46;145,7
jan/08;101,7;11,18;4,56;146,4
fev/08;95;11,18;4,61;147,6
mar/08;93,9;11,18;4,73;147,1
abr/08;92;11,37;5,04;147,9
mai/08;91,6;11,63;5,58;149,4
jun/08;95,5;12,09;6,06;150,9
jul/08;93,7;12,36;6,37;151,4
ago/08;89,9;12,92;6,17;151,5
set/08;99,7;13,39;6,25;151,3
out/08;135,6;13,66;6,41;148,7
nov/08;129,4;13,64;6,39;145,6
dez/08;119,2;13,66;5,9;141,3
jan/09;120,2;13,32;5,84;142,4
fev/09;121,4;12,66;5,9;143,4
mar/09;126;11,7;5,61;144,8
abr/09;117;11,11;5,53;145,7
mai/09;113;10,16;5,2;146,7
