data;iiebr;ici;nuci;ibc-br;bk
01/09/2005;94,7;95,5;80,4;110,86;74,2
01/10/2005;92,3;96,2;80,4;111,03;71,7
01/11/2005;98,6;96,7;80;111,84;73,9
01/12/2005;87,5;98,7;80,5;112,24;75,5
01/01/2006;91,5;100,8;81,6;113,34;73,2
01/02/2006;87,3;101;81,1;113,55;74,5
01/03/2006;91,4;101;81,6;113,7;74,3
01/04/2006;89,4;102,4;81,1;114,2;76,1
01/05/2006;96,7;99,6;81,2;115,54;75,2
01/06/2006;97;98,9;81,2;114,9;75,2
01/07/2006;91,5;100,5;81,7;116,91;77,7
01/08/2006;88,8;99,1;81,8;116,48;77,1
01/09/2006;93,7;101,1;82;116,87;76,4
01/10/2006;95,1;101,2;81,6;118,13;76,1
01/11/2006;89;104,1;81,7;118,9;79,2
01/12/2006;95;105,8;81,7;120,15;83,7
01/01/2007;88,3;104,9;82,2;119,7;84,4
01/02/2007;91,3;108;83,1;120,11;84,6
01/03/2007;85,6;109,3;82,6;119,45;85,3
01/04/2007;89,9;110,4;82,9;121,29;86,8
01/05/2007;91,3;111,3;83,1;122,24;89,1
01/06/2007;95,3;110,1;83,6;123,56;90,8
01/07/2007;88,7;112,2;83,7;124,26;90,7
01/08/2007;98,9;112,3;83,5;124,29;94,2
01/09/2007;97,3;112,9;84;125,22;95,1
01/10/2007;93,6;115,9;84,6;126,07;94,8
01/11/2007;94,1;115,2;84,7;126,25;97,5
01/12/2007;94,7;115,2;84,7;127;97,2
01/01/2008;101,7;114,1;85,4;127,23;98,4
01/02/2008;95;114,7;85,1;126,55;102,6
01/03/2008;93,9;112,1;85,4;126,42;104,7
01/04/2008;92;111,4;85,2;127,79;105,5
01/05/2008;91,6;112,3;84,7;129,57;98,8
01/06/2008;95,5;114,4;84,8;131,09;111,8
01/07/2008;93,7;113,5;85,3;130,84;110,6
01/08/2008;89,9;114,1;85,2;131,09;111,7
01/09/2008;99,7;111,5;84,7;130,66;114,4
01/10/2008;135,6;102,7;83,9;128,11;113,9
01/11/2008;129,4;83,8;83,1;125,06;110
01/12/2008;119,2;74,2;78,6;120,97;82,1
01/01/2009;120,2;75,3;77,4;120,93;88,7
01/02/2009;121,4;76,1;77,3;122,16;82,7
01/03/2009;126;78,5;77,3;122,99;77,3
